City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
207,Vardo,NO,2021-03-28 16:08:59,70.3705,31.1107,37.4,75,75,6.91
208,Leningradskaya,RU,2021-03-28 16:09:00,46.3214,39.3877,44.38,77,30,5.59
209,Toba,JP,2021-03-28 16:09:00,34.4833,136.85,61.0,95,100,4.0
210,Saint George,US,2021-03-28 16:07:39,37.1041,-113.5841,55.0,40,1,4.61
211,Ushtobe,KZ,2021-03-28 16:05:38,45.2514,77.9838,52.27,65,89,5.23
212,Jerome,US,2021-03-28 16:09:00,42.7241,-114.5186,57.2,37,1,6.91
213,Vila Franca Do Campo,PT,2021-03-28 16:09:00,37.7167,-25.4333,60.8,77,20,8.05
214,Angoche,MZ,2021-03-28 16:09:01,-16.2325,39.9086,79.48,82,100,6.42
215,Khani,GE,2021-03-28 16:09:01,41.9563,42.9566,46.4,57,40,6.91
216,Kargasok,RU,2021-03-28 16:09:01,59.0556,80.8572,25.59,95,100,8.37
217,Novikovo,RU,2021-03-28 16:09:01,51.1537,37.8879,37.94,75,100,5.53
218,Lyngseidet,NO,2021-03-28 16:09:02,69.5763,20.2189,39.2,52,40,4.61
219,Qaanaaq,GL,2021-03-28 16:09:02,77.484,-69.3632,-14.62,78,33,3.51
220,Moundou,TD,2021-03-28 16:09:02,8.5667,16.0833,95.38,27,63,6.91
221,Broken Hill,AU,2021-03-28 16:05:13,-31.95,141.4333,60.8,55,1,6.91
222,Lentekhi,GE,2021-03-28 16:09:02,42.7856,42.7261,35.38,96,100,2.48
223,Bengkulu,ID,2021-03-28 16:09:03,-3.8004,102.2655,78.91,86,97,3.65
224,Pontes E Lacerda,BR,2021-03-28 16:09:03,-15.2261,-59.3353,87.17,51,38,4.47
225,Grimshaw,CA,2021-03-28 16:05:39,56.1834,-117.6027,39.0,80,90,11.5
226,Faanui,PF,2021-03-28 16:09:03,-16.4833,-151.75,82.02,75,61,22.1
227,Beringovskiy,RU,2021-03-28 16:09:03,63.05,179.3167,10.94,95,100,16.15
228,Faya,SA,2021-03-28 16:05:59,18.3851,42.4509,71.6,59,0,9.22
229,Kodiak,US,2021-03-28 16:08:57,57.79,-152.4072,35.6,32,1,8.05
230,Nelson Bay,AU,2021-03-28 16:09:04,-32.7167,152.15,64.4,94,75,5.75
231,Barrow,US,2021-03-28 16:04:44,71.2906,-156.7887,-29.2,99,40,9.22
232,Naze,JP,2021-03-28 16:09:04,28.3667,129.4833,64.85,89,49,5.37
233,Bilecik,TR,2021-03-28 16:09:04,40.0,30.1667,57.2,40,0,6.91
234,Palmares Do Sul,BR,2021-03-28 16:09:04,-30.2578,-50.5097,74.21,82,90,9.24
235,Viedma,AR,2021-03-28 16:07:35,-40.8135,-62.9967,76.28,15,11,10.85
236,Kaeo,NZ,2021-03-28 16:09:05,-35.1,173.7833,64.99,95,100,5.01
237,Chokurdakh,RU,2021-03-28 16:09:05,70.6333,147.9167,-17.18,100,92,3.62
238,Pitimbu,BR,2021-03-28 16:09:05,-7.4706,-34.8086,86.0,74,75,6.91
239,Guasdualito,VE,2021-03-28 16:09:06,7.2424,-70.7324,90.43,42,52,8.46
